Entity,Code,Year,Deaths
All disasters excluding earthquakes,,1985,119866
All disasters excluding earthquakes,,1986,6122
All disasters excluding earthquakes,,1987,13781
All disasters excluding earthquakes,,1988,15030
All disasters excluding earthquakes,,1989,10139
All disasters excluding earthquakes,,1990,8118
All disasters excluding earthquakes,,1991,156533
All disasters excluding earthquakes,,1992,8247
All disasters excluding earthquakes,,1993,11082
All disasters excluding earthquakes,,1994,11843
All disasters excluding earthquakes,,1995,14937
All disasters excluding earthquakes,,1996,14175
All disasters excluding earthquakes,,1997,15673
All disasters excluding earthquakes,,1998,40795
All disasters excluding earthquakes,,1999,48392
All disasters excluding earthquakes,,2000,9510
All disasters excluding earthquakes,,2001,9691
All disasters excluding earthquakes,,2002,10518
All disasters excluding earthquakes,,2003,80298
All disasters excluding earthquakes,,2004,14896
All disasters excluding earthquakes,,2005,12974
All disasters excluding earthquakes,,2006,17173
All disasters excluding earthquakes,,2007,16059
All disasters excluding earthquakes,,2008,147451
All disasters excluding earthquakes,,2009,8920
All disasters excluding earthquakes,,2010,81002
All disasters excluding earthquakes,,2011,20377
All disasters excluding earthquakes,,2012,8897
All disasters excluding earthquakes,,2013,20727
All disasters excluding earthquakes,,2014,7201
All disasters excluding earthquakes,,2015,13329
All disasters excluding earthquakes,,2016,7084
All disasters excluding earthquakes,,2017,8749
All disasters excluding earthquakes,,2018,6604
All disasters excluding earthquakes,,2019,11662
All disasters excluding earthquakes,,2020,15436
All disasters excluding earthquakes,,2021,7783
All disasters excluding earthquakes,,2022,74474
All disasters excluding earthquakes,,2023,24066
All disasters excluding earthquakes,,2024,1207
All disasters excluding extreme temperature,,1900,1267470
All disasters excluding extreme temperature,,1901,18
All disasters excluding extreme temperature,,1902,48438
All disasters excluding extreme temperature,,1903,7136
All disasters excluding extreme temperature,,1904,152
All disasters excluding extreme temperature,,1905,20946
All disasters excluding extreme temperature,,1906,33657
All disasters excluding extreme temperature,,1907,13241
All disasters excluding extreme temperature,,1908,75033
All disasters excluding extreme temperature,,1909,6316
All disasters excluding extreme temperature,,1910,20983
All disasters excluding extreme temperature,,1911,120695
All disasters excluding extreme temperature,,1912,69083
All disasters excluding extreme temperature,,1913,18952
All disasters excluding extreme temperature,,1914,21462
All disasters excluding extreme temperature,,1915,32337
All disasters excluding extreme temperature,,1916,481
All disasters excluding extreme temperature,,1917,23561
All disasters excluding extreme temperature,,1918,11250
All disasters excluding extreme temperature,,1919,5500
All disasters excluding extreme temperature,,1920,706872
All disasters excluding extreme temperature,,1921,1200000
All disasters excluding extreme temperature,,1922,101175
All disasters excluding extreme temperature,,1923,154286
All disasters excluding extreme temperature,,1924,3279
All disasters excluding extreme temperature,,1925,6959
All disasters excluding extreme temperature,,1926,4852
All disasters excluding extreme temperature,,1927,53270
All disasters excluding extreme temperature,,1928,3004895
All disasters excluding extreme temperature,,1929,3330
All disasters excluding extreme temperature,,1930,11054
All disasters excluding extreme temperature,,1931,3718976
All disasters excluding extreme temperature,,1932,4901
All disasters excluding extreme temperature,,1933,31442
All disasters excluding extreme temperature,,1934,5711
All disasters excluding extreme temperature,,1935,272119
All disasters excluding extreme temperature,,1936,4193
All disasters excluding extreme temperature,,1937,12450
All disasters excluding extreme temperature,,1938,2208
All disasters excluding extreme temperature,,1939,563205
All disasters excluding extreme temperature,,1940,5656
All disasters excluding extreme temperature,,1941,16997
All disasters excluding extreme temperature,,1942,1608421
All disasters excluding extreme temperature,,1943,1916969
All disasters excluding extreme temperature,,1944,20181
All disasters excluding extreme temperature,,1945,11358
All disasters excluding extreme temperature,,1946,35563
All disasters excluding extreme temperature,,1947,7374
All disasters excluding extreme temperature,,1948,120828
All disasters excluding extreme temperature,,1949,123774
All disasters excluding extreme temperature,,1950,6845
All disasters excluding extreme temperature,,1951,18158
All disasters excluding extreme temperature,,1952,6886
All disasters excluding extreme temperature,,1953,11847
All disasters excluding extreme temperature,,1954,41847
All disasters excluding extreme temperature,,1955,5449
All disasters excluding extreme temperature,,1956,7737
All disasters excluding extreme temperature,,1957,10580
All disasters excluding extreme temperature,,1958,3410
All disasters excluding extreme temperature,,1959,496147
All disasters excluding extreme temperature,,1960,997729
All disasters excluding extreme temperature,,1961,576037
All disasters excluding extreme temperature,,1962,17189
All disasters excluding extreme temperature,,1963,36269
All disasters excluding extreme temperature,,1964,12275
All disasters excluding extreme temperature,,1965,564613
All disasters excluding extreme temperature,,1966,516756
All disasters excluding extreme temperature,,1967,506507
All disasters excluding extreme temperature,,1968,22043
All disasters excluding extreme temperature,,1969,8396
All disasters excluding extreme temperature,,1970,386150
All disasters excluding extreme temperature,,1971,15374
All disasters excluding extreme temperature,,1972,19913
All disasters excluding extreme temperature,,1973,11974
All disasters excluding extreme temperature,,1974,87458
All disasters excluding extreme temperature,,1975,55474
All disasters excluding extreme temperature,,1976,308866
All disasters excluding extreme temperature,,1977,40877
All disasters excluding extreme temperature,,1978,54597
All disasters excluding extreme temperature,,1979,6359
All disasters excluding extreme temperature,,1980,19924
All disasters excluding extreme temperature,,1981,33782
All disasters excluding extreme temperature,,1982,31193
All disasters excluding extreme temperature,,1983,192461
All disasters excluding extreme temperature,,1984,263273
All disasters excluding extreme temperature,,1985,129262
All disasters excluding extreme temperature,,1986,7253
All disasters excluding extreme temperature,,1987,17712
All disasters excluding extreme temperature,,1988,41425
All disasters excluding extreme temperature,,1989,10408
All disasters excluding extreme temperature,,1990,49984
All disasters excluding extreme temperature,,1991,158230
All disasters excluding extreme temperature,,1992,11814
All disasters excluding extreme temperature,,1993,21064
All disasters excluding extreme temperature,,1994,12744
All disasters excluding extreme temperature,,1995,20946
All disasters excluding extreme temperature,,1996,14451
All disasters excluding extreme temperature,,1997,18128
All disasters excluding extreme temperature,,1998,47099
All disasters excluding extreme temperature,,1999,69490
All disasters excluding extreme temperature,,2000,8793
All disasters excluding extreme temperature,,2001,29305
All disasters excluding extreme temperature,,2002,9235
All disasters excluding extreme temperature,,2003,35106
All disasters excluding extreme temperature,,2004,241542
All disasters excluding extreme temperature,,2005,87946
All disasters excluding extreme temperature,,2006,18758
All disasters excluding extreme temperature,,2007,15813
All disasters excluding extreme temperature,,2008,233666
All disasters excluding extreme temperature,,2009,9583
All disasters excluding extreme temperature,,2010,250564
All disasters excluding extreme temperature,,2011,40670
All disasters excluding extreme temperature,,2012,7988
All disasters excluding extreme temperature,,2013,19812
All disasters excluding extreme temperature,,2014,6807
All disasters excluding extreme temperature,,2015,15454
All disasters excluding extreme temperature,,2016,7905
All disasters excluding extreme temperature,,2017,9402
All disasters excluding extreme temperature,,2018,11068
All disasters excluding extreme temperature,,2019,8798
All disasters excluding extreme temperature,,2020,8999
All disasters excluding extreme temperature,,2021,9481
All disasters excluding extreme temperature,,2022,14318
All disasters excluding extreme temperature,,2023,86111
All disasters excluding extreme temperature,,2024,1485
Drought,,1900,1261000
Drought,,1903,0
Drought,,1906,0
Drought,,1907,0
Drought,,1910,16990
Drought,,1911,16990
Drought,,1912,16990
Drought,,1913,16990
Drought,,1914,17040
Drought,,1919,0
Drought,,1920,524000
Drought,,1921,1200000
Drought,,1922,0
Drought,,1923,0
Drought,,1928,3000000
Drought,,1931,0
Drought,,1932,0
Drought,,1933,0
Drought,,1934,0
Drought,,1935,0
Drought,,1936,0
Drought,,1937,0
Drought,,1938,0
Drought,,1939,0
Drought,,1940,4006
Drought,,1941,3995
Drought,,1942,1503995
Drought,,1943,1903995
Drought,,1944,4009
Drought,,1946,30000
Drought,,1947,0
Drought,,1960,0
Drought,,1961,0
Drought,,1963,0
Drought,,1964,50
Drought,,1965,502000
Drought,,1966,508000
Drought,,1967,500199
Drought,,1968,199
Drought,,1969,202
Drought,,1970,0
Drought,,1971,0
Drought,,1972,0
Drought,,1973,1669
Drought,,1974,20427
Drought,,1975,28756
Drought,,1976,28782
Drought,,1977,19655
Drought,,1978,19774
Drought,,1979,18
Drought,,1980,0
Drought,,1981,20109
Drought,,1982,20988
Drought,,1983,182525
Drought,,1984,255067
Drought,,1985,75341
Drought,,1986,84
Drought,,1987,1317
Drought,,1988,1431
Drought,,1989,279
Drought,,1990,42
Drought,,1991,2042
Drought,,1992,43
Drought,,1993,0
Drought,,1994,0
Drought,,1995,0
Drought,,1996,0
Drought,,1997,687
Drought,,1998,65
Drought,,1999,27
Drought,,2000,142
Drought,,2001,252
Drought,,2002,671
Drought,,2003,45
Drought,,2004,80
Drought,,2005,114
Drought,,2006,169
Drought,,2007,0
Drought,,2008,5
Drought,,2009,3
Drought,,2010,10000
Drought,,2011,10000
Drought,,2012,0
Drought,,2013,0
Drought,,2014,0
Drought,,2015,35
Drought,,2016,0
Drought,,2017,0
Drought,,2018,0
Drought,,2019,79
Drought,,2020,47
Drought,,2021,4
Drought,,2022,2601
Drought,,2023,247
Drought,,2024,0
Dry mass movement,,1903,76
Dry mass movement,,1905,18
Dry mass movement,,1908,33
Dry mass movement,,1937,40
Dry mass movement,,1955,3
Dry mass movement,,1962,2000
Dry mass movement,,1963,150
Dry mass movement,,1980,50
Dry mass movement,,1982,46
Dry mass movement,,1983,457
Dry mass movement,,1985,300
Dry mass movement,,1987,131
Dry mass movement,,1988,157
Dry mass movement,,1989,55
Dry mass movement,,1990,73
Dry mass movement,,1991,86
Dry mass movement,,1992,323
Dry mass movement,,1993,106
Dry mass movement,,2000,11
Dry mass movement,,2002,60
Dry mass movement,,2004,44
Dry mass movement,,2006,11
Dry mass movement,,2008,120
Dry mass movement,,2009,36
Dry mass movement,,2012,16
Dry mass movement,,2013,46
Dry mass movement,,2015,13
Dry mass movement,,2017,8
Dry mass movement,,2018,17
Earthquake,,1900,140
Earthquake,,1901,18
Earthquake,,1902,9148
Earthquake,,1903,6630
Earthquake,,1904,152
Earthquake,,1905,20688
Earthquake,,1906,22653
Earthquake,,1907,13241
Earthquake,,1908,75000
Earthquake,,1909,5478
Earthquake,,1910,2522
Earthquake,,1911,1297
Earthquake,,1912,923
Earthquake,,1913,1230
Earthquake,,1914,4282
Earthquake,,1915,30156
Earthquake,,1916,181
Earthquake,,1917,19504
Earthquake,,1918,10216
Earthquake,,1920,182648
Earthquake,,1922,1032
Earthquake,,1923,150947
Earthquake,,1924,1037
Earthquake,,1925,6140
Earthquake,,1926,12
Earthquake,,1927,44252
Earthquake,,1928,635
Earthquake,,1929,3270
Earthquake,,1930,5563
Earthquake,,1931,14286
Earthquake,,1932,1627
Earthquake,,1933,13326
Earthquake,,1934,120
Earthquake,,1935,67412
Earthquake,,1936,611
Earthquake,,1937,425
Earthquake,,1938,149
Earthquake,,1939,63121
Earthquake,,1940,1402
Earthquake,,1941,2856
Earthquake,,1942,3426
Earthquake,,1943,6984
Earthquake,,1944,15250
Earthquake,,1945,6943
Earthquake,,1946,5226
Earthquake,,1947,636
Earthquake,,1948,116315
Earthquake,,1949,9890
Earthquake,,1950,1950
Earthquake,,1951,4739
Earthquake,,1952,353
Earthquake,,1953,2758
Earthquake,,1954,3319
Earthquake,,1955,489
Earthquake,,1956,763
Earthquake,,1957,6970
Earthquake,,1958,338
Earthquake,,1959,69
Earthquake,,1960,19931
Earthquake,,1961,100
Earthquake,,1962,12078
Earthquake,,1963,1385
Earthquake,,1964,335
Earthquake,,1965,695
Earthquake,,1966,2789
Earthquake,,1967,955
Earthquake,,1968,11571
Earthquake,,1969,3380
Earthquake,,1970,78181
Earthquake,,1971,1108
Earthquake,,1972,15183
Earthquake,,1973,591
Earthquake,,1974,24829
Earthquake,,1975,4632
Earthquake,,1976,277005
Earthquake,,1977,3098
Earthquake,,1978,25162
Earthquake,,1979,2074
Earthquake,,1980,7639
Earthquake,,1981,3979
Earthquake,,1982,2183
Earthquake,,1983,2294
Earthquake,,1984,60
Earthquake,,1985,9852
Earthquake,,1986,1181
Earthquake,,1987,5151
Earthquake,,1988,27039
Earthquake,,1989,650
Earthquake,,1990,42845
Earthquake,,1991,2454
Earthquake,,1992,4033
Earthquake,,1993,10088
Earthquake,,1994,1242
Earthquake,,1995,7739
Earthquake,,1996,576
Earthquake,,1997,3059
Earthquake,,1998,9573
Earthquake,,1999,21869
Earthquake,,2000,217
Earthquake,,2001,21348
Earthquake,,2002,1639
Earthquake,,2003,29617
Earthquake,,2004,227290
Earthquake,,2005,76241
Earthquake,,2006,6692
Earthquake,,2007,780
Earthquake,,2008,87918
Earthquake,,2009,1893
Earthquake,,2010,226733
Earthquake,,2011,20946
Earthquake,,2012,711
Earthquake,,2013,1120
Earthquake,,2014,774
Earthquake,,2015,9550
Earthquake,,2016,1311
Earthquake,,2017,1012
Earthquake,,2018,5061
Earthquake,,2019,261
Earthquake,,2020,196
Earthquake,,2021,2742
Earthquake,,2022,1626
Earthquake,,2023,62451
Earthquake,,2024,313
Extreme temperature,,1936,1693
Extreme temperature,,1951,69
Extreme temperature,,1953,669
Extreme temperature,,1955,107
Extreme temperature,,1958,651
Extreme temperature,,1961,400
Extreme temperature,,1962,50
Extreme temperature,,1963,162
Extreme temperature,,1965,100
Extreme temperature,,1966,262
Extreme temperature,,1968,153
Extreme temperature,,1971,400
Extreme temperature,,1972,110
Extreme temperature,,1973,283
Extreme temperature,,1975,140
Extreme temperature,,1977,0
Extreme temperature,,1978,150
Extreme temperature,,1979,470
Extreme temperature,,1980,1389
Extreme temperature,,1981,300
Extreme temperature,,1982,400
Extreme temperature,,1983,205
Extreme temperature,,1984,290
Extreme temperature,,1985,456
Extreme temperature,,1986,50
Extreme temperature,,1987,1220
Extreme temperature,,1988,644
Extreme temperature,,1989,381
Extreme temperature,,1990,979
Extreme temperature,,1991,757
Extreme temperature,,1992,466
Extreme temperature,,1993,106
Extreme temperature,,1994,341
Extreme temperature,,1995,1730
Extreme temperature,,1996,300
Extreme temperature,,1997,604
Extreme temperature,,1998,3269
Extreme temperature,,1999,771
Extreme temperature,,2000,934
Extreme temperature,,2001,1734
Extreme temperature,,2002,2922
Extreme temperature,,2003,74809
Extreme temperature,,2004,644
Extreme temperature,,2005,1269
Extreme temperature,,2006,5107
Extreme temperature,,2007,1026
Extreme temperature,,2008,1703
Extreme temperature,,2009,1230
Extreme temperature,,2010,57171
Extreme temperature,,2011,653
Extreme temperature,,2012,1620
Extreme temperature,,2013,2035
Extreme temperature,,2014,1168
Extreme temperature,,2015,7425
Extreme temperature,,2016,490
Extreme temperature,,2017,359
Extreme temperature,,2018,597
Extreme temperature,,2019,3125
Extreme temperature,,2020,6633
Extreme temperature,,2021,1044
Extreme temperature,,2022,61782
Extreme temperature,,2023,406
Extreme temperature,,2024,35
Extreme weather,,1900,6000
Extreme weather,,1902,600
Extreme weather,,1903,163
Extreme weather,,1904,0
Extreme weather,,1905,240
Extreme weather,,1906,10298
Extreme weather,,1909,713
Extreme weather,,1910,30
Extreme weather,,1911,1000
Extreme weather,,1912,51170
Extreme weather,,1913,732
Extreme weather,,1914,0
Extreme weather,,1915,2125
Extreme weather,,1916,300
Extreme weather,,1917,4057
Extreme weather,,1918,34
Extreme weather,,1919,500
Extreme weather,,1920,224
Extreme weather,,1922,100000
Extreme weather,,1923,3139
Extreme weather,,1924,2242
Extreme weather,,1925,819
Extreme weather,,1926,3568
Extreme weather,,1927,5772
Extreme weather,,1928,4224
Extreme weather,,1929,0
Extreme weather,,1930,4082
Extreme weather,,1931,3200
Extreme weather,,1932,3244
Extreme weather,,1933,63
Extreme weather,,1934,5091
Extreme weather,,1935,62707
Extreme weather,,1936,3309
Extreme weather,,1937,11231
Extreme weather,,1938,905
Extreme weather,,1939,3
Extreme weather,,1940,123
Extreme weather,,1941,5146
Extreme weather,,1942,101000
Extreme weather,,1943,5000
Extreme weather,,1944,726
Extreme weather,,1945,4415
Extreme weather,,1946,337
Extreme weather,,1947,4738
Extreme weather,,1948,2971
Extreme weather,,1949,2804
Extreme weather,,1950,873
Extreme weather,,1951,2861
Extreme weather,,1952,2277
Extreme weather,,1953,1814
Extreme weather,,1954,2969
Extreme weather,,1955,3895
Extreme weather,,1956,3114
Extreme weather,,1957,1139
Extreme weather,,1958,2620
Extreme weather,,1959,9695
Extreme weather,,1960,9164
Extreme weather,,1961,12852
Extreme weather,,1962,1860
Extreme weather,,1963,29965
Extreme weather,,1964,10655
Extreme weather,,1965,59932
Extreme weather,,1966,2327
Extreme weather,,1967,2255
Extreme weather,,1968,1669
Extreme weather,,1969,3252
Extreme weather,,1970,304495
Extreme weather,,1971,10811
Extreme weather,,1972,1427
Extreme weather,,1973,4344
Extreme weather,,1974,11861
Extreme weather,,1975,1041
Extreme weather,,1976,1763
Extreme weather,,1977,15298
Extreme weather,,1978,3676
Extreme weather,,1979,2623
Extreme weather,,1980,1379
Extreme weather,,1981,3790
Extreme weather,,1982,2782
Extreme weather,,1983,3590
Extreme weather,,1984,4934
Extreme weather,,1985,17165
Extreme weather,,1986,1939
Extreme weather,,1987,2900
Extreme weather,,1988,3335
Extreme weather,,1989,4262
Extreme weather,,1990,4604
Extreme weather,,1991,146297
Extreme weather,,1992,1344
Extreme weather,,1993,2965
Extreme weather,,1994,4239
Extreme weather,,1995,3763
Extreme weather,,1996,4581
Extreme weather,,1997,5674
Extreme weather,,1998,25411
Extreme weather,,1999,12270
Extreme weather,,2000,1365
Extreme weather,,2001,1911
Extreme weather,,2002,1380
Extreme weather,,2003,1051
Extreme weather,,2004,6547
Extreme weather,,2005,5233
Extreme weather,,2006,4347
Extreme weather,,2007,6013
Extreme weather,,2008,140985
Extreme weather,,2009,3287
Extreme weather,,2010,1543
Extreme weather,,2011,3124
Extreme weather,,2012,3105
Extreme weather,,2013,8598
Extreme weather,,2014,1432
Extreme weather,,2015,1288
Extreme weather,,2016,1759
Extreme weather,,2017,2543
Extreme weather,,2018,1726
Extreme weather,,2019,2514
Extreme weather,,2020,1758
Extreme weather,,2021,1893
Extreme weather,,2022,1583
Extreme weather,,2023,14678
Extreme weather,,2024,208
Flood,,1900,300
Flood,,1903,250
Flood,,1906,6
Flood,,1909,72
Flood,,1910,1379
Flood,,1911,100000
Flood,,1915,0
Flood,,1917,0
Flood,,1920,0
Flood,,1925,0
Flood,,1926,1000
Flood,,1927,3246
Flood,,1928,36
Flood,,1931,3700000
Flood,,1933,18053
Flood,,1935,142000
Flood,,1936,200
Flood,,1937,248
Flood,,1938,954
Flood,,1939,500010
Flood,,1940,125
Flood,,1943,990
Flood,,1947,2000
Flood,,1948,917
Flood,,1949,97000
Flood,,1950,3808
Flood,,1951,5666
Flood,,1952,199
Flood,,1953,7125
Flood,,1954,34436
Flood,,1955,584
Flood,,1956,3613
Flood,,1957,2471
Flood,,1958,400
Flood,,1959,486335
Flood,,1960,968582
Flood,,1961,562919
Flood,,1962,1180
Flood,,1963,1031
Flood,,1964,1123
Flood,,1965,1401
Flood,,1966,1923
Flood,,1967,2446
Flood,,1968,7306
Flood,,1969,1544
Flood,,1970,3246
Flood,,1971,2404
Flood,,1972,2548
Flood,,1973,1829
Flood,,1974,29437
Flood,,1975,20848
Flood,,1976,960
Flood,,1977,2568
Flood,,1978,5897
Flood,,1979,1038
Flood,,1980,10466
Flood,,1981,5283
Flood,,1982,4409
Flood,,1983,2321
Flood,,1984,2930
Flood,,1985,4376
Flood,,1986,1782
Flood,,1987,6766
Flood,,1988,8504
Flood,,1989,4716
Flood,,1990,2246
Flood,,1991,5850
Flood,,1992,5236
Flood,,1993,6150
Flood,,1994,6771
Flood,,1995,7894
Flood,,1996,8090
Flood,,1997,7588
Flood,,1998,10759
Flood,,1999,34809
Flood,,2000,5999
Flood,,2001,4975
Flood,,2002,4179
Flood,,2003,3730
Flood,,2004,7162
Flood,,2005,5649
Flood,,2006,5868
Flood,,2007,8590
Flood,,2008,4032
Flood,,2009,3523
Flood,,2010,8300
Flood,,2011,6279
Flood,,2012,3633
Flood,,2013,9778
Flood,,2014,3523
Flood,,2015,3484
Flood,,2016,4438
Flood,,2017,3349
Flood,,2018,2881
Flood,,2019,5074
Flood,,2020,6397
Flood,,2021,4137
Flood,,2022,8011
Flood,,2023,7617
Flood,,2024,212
Fog,,1952,4000
Glacial lake outburst flood,,2021,250
Glacial lake outburst flood,,2022,11
Glacial lake outburst flood,,2023,178
Volcanic activity,,1900,30
Volcanic activity,,1902,38690
Volcanic activity,,1903,17
Volcanic activity,,1906,700
Volcanic activity,,1911,1335
Volcanic activity,,1914,140
Volcanic activity,,1919,5000
Volcanic activity,,1926,144
Volcanic activity,,1930,1369
Volcanic activity,,1931,1300
Volcanic activity,,1937,506
Volcanic activity,,1943,0
Volcanic activity,,1944,26
Volcanic activity,,1945,0
Volcanic activity,,1946,0
Volcanic activity,,1948,100
Volcanic activity,,1949,2000
Volcanic activity,,1950,84
Volcanic activity,,1951,4800
Volcanic activity,,1952,29
Volcanic activity,,1953,150
Volcanic activity,,1954,37
Volcanic activity,,1956,0
Volcanic activity,,1957,0
Volcanic activity,,1960,0
Volcanic activity,,1963,1705
Volcanic activity,,1964,4
Volcanic activity,,1965,355
Volcanic activity,,1966,1088
Volcanic activity,,1968,90
Volcanic activity,,1969,0
Volcanic activity,,1971,0
Volcanic activity,,1973,0
Volcanic activity,,1975,2
Volcanic activity,,1976,41
Volcanic activity,,1977,215
Volcanic activity,,1978,0
Volcanic activity,,1979,268
Volcanic activity,,1980,90
Volcanic activity,,1981,192
Volcanic activity,,1982,130
Volcanic activity,,1983,0
Volcanic activity,,1984,37
Volcanic activity,,1985,21800
Volcanic activity,,1986,1746
Volcanic activity,,1987,0
Volcanic activity,,1988,7
